source,target,value
Dept of Electrical Engineering & Computer Science, Henry Smith, 3,
Institute for Soldier Nanotechnologies, Ivan Celanovic, 9,
McGovern Institute for Brain Research, Daigo Homma, 6,
David H Koch Institute for Integrative Cancer Res, Anne Deconinck, 6,
Department of Physics, Iain Stewart, 1,
Department of Aeronautics and Astronautics, Steven Allmaras, 9,
Institute for Medical Engineering and Science, Jason Yang, 3,
Department of Biology, Angelika Amon, 8,
Institute for Data Systems and Society, Richard Larson, 3,
Dept of Electrical Engineering & Computer Science, Vivienne Sze, 7,
McGovern Institute for Brain Research, Robert Desimone, 10,
Department of Civil and Environmental Engineering, Roland Pellenq, 1,
Dept of Electrical Engineering & Computer Science, John Kassakian, 4,
Department of Physics, Peter Fisher, 7,
Department of Mechanical Engineering, Alexander Slocum, 5,
Department of Mechanical Engineering, Konstantin Turitsyn, 9,
Department of Nuclear Science and Engineering, Emilio Baglietto, 3,
Sociotechnical Systems Research Center, Donna Rhodes, 8,
Dept of Earth Atmospheric & Planetary Sciences, Bradford Hager, 9,
Sloan School of Management, Georgia Perakis, 6,
Department of Chemical Engineering, Yuriy Roman, 3,
Department of Brain and Cognitive Sciences, Vikash Mansinghka, 6,
Nuclear Reactor Laboratory, Boris Khaykovich, 8,
David H Koch Institute for Integrative Cancer Res, Mandar Muzumdar, 3,
Computer Science & Artificial Intelligence Lab, James Glass, 10,
Department of Mechanical Engineering, Dick Yue, 4,
Department of Civil and Environmental Engineering, Philip Gschwend, 9,
Dept of Earth Atmospheric & Planetary Sciences, Carl Wunsch, 4,
Dept of Electrical Engineering & Computer Science, Ronitt Rubinfeld, 8,
History Section, Harriet Ritvo, 9,
Department of Mathematics, Tomasz Mrowka, 1,
Dept of Electrical Engineering & Computer Science, Gregory Wornell, 8,
Program in Media Arts and Sciences, Cynthia Breazeal, 4,
Department of Mechanical Engineering, Themistoklis Sapsis, 9,
DLC Heads Science, Alan Grossman, 2,
Department of Biology, Stephen Bell, 9,
Department of Biology, Michael Yaffe, 5,
Dept of Electrical Engineering & Computer Science, Rodney Brooks, 5,
Dept of Electrical Engineering & Computer Science, Anantha Chandrakasan, 3,
Dept of Electrical Engineering & Computer Science, Peter Szolovits, 7,
Dept of Electrical Engineering & Computer Science, Elfar Adalsteinsson, 9,
Department of Materials Science and Engineering, Geoffrey Beach, 3,
Department of Biological Engineering, Linda Griffith, 3,
Department of Aeronautics and Astronautics, Luca Carlone, 3,
Department of Physics, Edward Farhi, 2,
Department of Political Science, Adam Berinsky, 3,
Department of Biology, Chris Kaiser, 6,
Health Sciences and Technology Program, Bruce Rosen, 1,
Department of Biological Engineering, Murat Cirit, 5,
Sloan School of Management, Yanchong Zheng, 1,
Dept of Electrical Engineering & Computer Science, Jongyoon Han, 2,
Department of Mechanical Engineering, Kripa Varanasi, 9,
Haystack Observatory, Pedro Elosegui, 6,
Sloan School of Management, Tauhid Zaman, 3,
Department of Civil and Environmental Engineering, Lydia Bourouiba, 9,
Department of Mechanical Engineering, Daniel Frey, 2,
Department of Civil and Environmental Engineering, Earle Williams, 1,
Sloan School of Management, Andreas Schulz, 6,
Department of Civil and Environmental Engineering, Moshe Ben-Akiva, 4,
Comparative Media Studies/Writing, Suzanne Lane, 10,
Department of Chemical Engineering, Klavs Jensen, 1,
Department of Economics, Alexander Wolitzky, 6,
Department of Mathematics, Andrew Lawrie, 1,
Program in Media Arts and Sciences, Neri Oxman, 5,
Computer Science & Artificial Intelligence Lab, John Fisher, 10,
Laboratory for Nuclear Science, Stephen Steadman, 4,
Department of Biology, Jonathan King, 3,
Dept of Electrical Engineering & Computer Science, Martha Gray, 10,
Department of Chemical Engineering, Paul Barton, 9,
Institute for Soldier Nanotechnologies, John Joannopoulos, 1,
Department of Aeronautics and Astronautics, Moe Win, 1,
Department of Biological Engineering, Forest White, 5,
Department of Materials Science and Engineering, Yet-Ming Chiang, 4,
Dept of Electrical Engineering & Computer Science, John Guttag, 3,
Department of Brain and Cognitive Sciences, James DiCarlo, 1,
Department of Civil and Environmental Engineering, Dara Entekhabi, 4,
Lincoln Laboratory, Richard Williams, 7,
Dept of Electrical Engineering & Computer Science, Hari Balakrishnan, 8,
Dept of Earth Atmospheric & Planetary Sciences, Michael Person, 10,
Materials Research Laboratory, Felice Frankel, 6,
Department of Physics, Boleslaw Wyslouch, 5,
Department of Biology, Harvey Lodish, 6,
Department of Mechanical Engineering, Nicholas Makris, 6,
Department of Chemistry, Sylvia Ceyer, 3,
Kavli Institute for Astrophysics & Space Research, Alan Levine, 6,
Department of Mechanical Engineering, Kamal Youcef-Toumi, 5,
Department of Aeronautics and Astronautics, Jonathan How, 2,
Department of Nuclear Science and Engineering, Michael Driscoll, 5,
Department of Chemical Engineering, Gregory Stephanopoulos, 1,
Department of Physics, Tracy Slatyer, 2,
Department of Economics, David Autor, 6,
Department of Aeronautics and Astronautics, Brian Wardle, 7,
Department of Brain and Cognitive Sciences, Mehrdad Jazayeri, 6,
Department of Political Science, Fotini Christia, 10,
Office of the Institute Professors, Jerome Friedman, 10,
Department of Physics, Michael Williams, 10,
Plasma Science and Fusion Center, Peter Catto, 3,
Department of Economics, Drew Fudenberg, 2,
Center for Transportation and Logistics, James Rice, 3,
Department of Materials Science and Engineering, Christopher Schuh, 2,
Department of Mechanical Engineering, Victor Wong, 3,
Department of Mechanical Engineering, Anastasios Hart, 10,
Department of Physics, Christoph Paus, 7,
Department of Nuclear Science and Engineering, Nuno Gomes Loureiro, 5,
Haystack Observatory, Michael Hecht, 8,
McGovern Institute for Brain Research, Caroline Robertson, 7,
Dept of Electrical Engineering & Computer Science, Patrick Jaillet, 2,
Dept of Earth Atmospheric & Planetary Sciences, Francesca DeMeo, 3,
Department of Materials Science and Engineering, Donald Sadoway, 8,
Plasma Science and Fusion Center, Paul Bonoli, 5,
Plasma Science and Fusion Center, Martin Greenwald, 2,
Sloan School of Management, Jean-Noel Barrot, 2,
Department of Biology, Laurie Boyer, 7,
Dept of Electrical Engineering & Computer Science, Samuel Madden, 5,
Department of Materials Science and Engineering, Jeffrey Grossman, 8,
Dept of Electrical Engineering & Computer Science, James Kirtley, 1,
Department of Aeronautics and Astronautics, Julie Shah, 1,
Sloan School of Management, John Hauser, 3,
Department of Aeronautics and Astronautics, Paulo Lozano, 4,
Kavli Institute for Astrophysics & Space Research, Michael Nowak, 4,
Department of Physics, Mehran Kardar, 3,
Office of the Provost, Martin Schmidt, 4,
Lincoln Laboratory, Peter Carr, 10,
Department of Biological Engineering, Michael Birnbaum, 6,
Department of Physics, T Donnelly, 2,
Dept of Earth Atmospheric & Planetary Sciences, Jahandar Ramezani, 4,
Laboratory for Nuclear Science, Bernd Surrow, 5,
Department of Economics, Frank Schilbach, 7,
Dept of Earth Atmospheric & Planetary Sciences, Timothy Grove, 5,
Department of Mechanical Engineering, Henrik Schmidt, 6,
Department of Physics, Miklos Porkolab, 9,
Department of Mechanical Engineering, Yang Shao-Horn, 5,
Computer Science & Artificial Intelligence Lab, Una-May O'Reilly, 2,
Department of Chemical Engineering, Charles Cooney, 8,
Dept of Earth Atmospheric & Planetary Sciences, Robert Reilinger, 8,
Department of Mathematics, William Minicozzi, 9,
Research Laboratory of Electronics, Stefanie Hufnagel, 1,
Program in Media Arts and Sciences, Joichi Ito, 8,
Department of Mathematics, Richard Stanley, 1,
Office of the Provost, Sanjay Sarma, 7,
Department of Architecture, Leon Glicksman, 6,
Department of Mechanical Engineering, Anuradha Annaswamy, 7,
Center for Transportation and Logistics, Frederick Salvucci, 1,
Department of Biology, Amy Keating, 6,
Dept of Earth Atmospheric & Planetary Sciences, John Marshall, 10,
MIT Energy Initiative, Francis O'Sullivan, 2,
Department of Political Science, Richard Samuels, 3,
Department of Aeronautics and Astronautics, Edward Greitzer, 9,
Research Laboratory of Electronics, Ming-Ru Wu, 5,
Department of Brain and Cognitive Sciences, Kay Tye, 5,
Program in Media Arts and Sciences, Neil Gershenfeld, 3,
Dept of Electrical Engineering & Computer Science, Bruce Tidor, 1,
Office of the Vice President for Research, Maria Zuber, 2,
Department of Physics, Nevin Weinberg, 9,
Lincoln Laboratory, Marija Ilic, 8,
Department of Mechanical Engineering, Alexandra Techet, 8,
Department of Chemical Engineering, Martin Bazant, 8,
Department of Aeronautics and Astronautics, David Darmofal, 3,
Department of Brain and Cognitive Sciences, Guoping Feng, 5,
Comparative Media Studies/Writing, Thomas Levenson, 3,
Office of the Vice President for Research, John Essigmann, 5,
Dept of Electrical Engineering & Computer Science, Jeffrey Shapiro, 10,
Sloan School of Management, Steven Eppinger, 1,
Department of Nuclear Science and Engineering, Paola Cappellaro, 1,
Dept of Electrical Engineering & Computer Science, Devavrat Shah, 9,
Department of Aeronautics and Astronautics, Robert Haimes, 10,
Sloan School of Management, James Orlin, 10,
Department of Chemical Engineering, Robert Armstrong, 4,
Program in Media Arts and Sciences, Kevin Esvelt, 8,
David H Koch Institute for Integrative Cancer Res, Madeleine Oudin, 6,
Department of Civil and Environmental Engineering, Benedetto Marelli, 10,
Department of Mathematics, Philippe Rigollet, 3,
Dept of Electrical Engineering & Computer Science, Qing Hu, 7,
Department of Physics, Pablo Jarillo-Herrero, 6,
Department of Materials Science and Engineering, Joel Clark, 4,
Department of Biology, Frank Gertler, 6,
Department of Chemical Engineering, Jefferson Tester, 3,
Dept of Electrical Engineering & Computer Science, Dina Katabi, 9,
Department of Civil and Environmental Engineering, Saurabh Amin, 4,
School of Engineering, Eboney Hearn, 7,
Sloan School of Management, Robert Freund, 3,
Department of Linguistics and Philosophy, Michel DeGraff, 4,
Institute for Data Systems and Society, Christopher Magee, 5,
Office of the Provost, Krystyn Van Vliet, 4,
Plasma Science and Fusion Center, John Rice, 1,
Department of Mechanical Engineering, Ian Hunter, 4,
Dept of Electrical Engineering & Computer Science, Akintunde Akinwande, 5,
Sloan School of Management, Arnold Barnett, 2,
Institute for Data Systems and Society, Munther Dahleh, 3,
Institute for Medical Engineering and Science, Kumaran Kolandaivelu, 8,
Laboratory for Information and Decision Systems, Mardavij Roozbehani, 10,
Department of Mechanical Engineering, Matthew Lang, 9,
Department of Chemistry, Alexander Radosevich, 3,
Office of the Provost, Chokyun Rha, 10,
Lincoln Laboratory, Todd Thorsen, 6,
Research Laboratory of Electronics, Kyung-Han Hong, 4,
Dept of Electrical Engineering & Computer Science, Charles Sodini, 8,
Department of Mechanical Engineering, David Trumper, 10,
Dept of Electrical Engineering & Computer Science, Leslie Kolodziejski, 2,
Institute for Medical Engineering and Science, Mercedes Balcells-Camps, 2,
Department of Chemistry, Stephen Buchwald, 8,
Haystack Observatory, Frank Lind, 8,
Department of Mathematics, Paul Seidel, 1,
Department of Mechanical Engineering, Pierre Lermusiaux, 2,
Sloan School of Management, Michael Siegel, 9,
Department of Urban Studies and Planning, Frank Levy, 4,
Department of Physics, Scott Hughes, 7,
Sloan School of Management, Michael Cusumano, 4,
Department of Nuclear Science and Engineering, Anne White, 6,
Department of Mechanical Engineering, Tomasz Wierzbicki, 5,
Department of Physics, June Matthews, 8,
Inst for Medical Eng. and Science Prof, Leonid Mirny, 4,
Dept of Electrical Engineering & Computer Science, Erik Demaine, 5,
Dept of Electrical Engineering & Computer Science, Jerome Saltzer, 6,
Research Laboratory of Electronics, Rahul Sarpeshkar, 3,
Department of Chemical Engineering, Paula Hammond, 1,
Department of Mechanical Engineering, Wai Cheng, 10,
Department of Materials Science and Engineering, Merton Flemings, 8,
Department of Urban Studies and Planning, Albert Saiz, 4,
Department of Physics, Leonid Levitov, 4,
Department of Civil and Environmental Engineering, Robert Logcher, 5,
Department of Biology, Richard Hynes, 8,
Dept of Earth Atmospheric & Planetary Sciences, Daniel Rothman, 5,
Nuclear Reactor Laboratory, Lin-Wen Hu, 2,
Department of Mathematics, Alexei Borodin, 10,
Computer Science & Artificial Intelligence Lab, Howard Shrobe, 6,
Dept of Earth Atmospheric & Planetary Sciences, German Prieto Gomez, 8,
Dept of Electrical Engineering & Computer Science, Jacob White, 9,
Dept of Earth Atmospheric & Planetary Sciences, William Rodi, 6,
Department of Chemistry, JoAnne Stubbe, 7,
Department of Biological Engineering, Katharina Ribbeck, 2,
Department of Brain and Cognitive Sciences, Michale Fee, 10,
Dept of Electrical Engineering & Computer Science, Lizhong Zheng, 2,
Department of Biological Engineering, Ernest Fraenkel, 2,
Terrascope, Ari Epstein, 1,
Department of Physics, George Benedek, 1,
Institute for Soldier Nanotechnologies, Michael Jordan, 7,
Department of Civil and Environmental Engineering, Herbert Einstein, 5,
Sloan School of Management, Sinan Aral, 8,
Dept of Electrical Engineering & Computer Science, John Tsitsiklis, 5,
Dept of Electrical Engineering & Computer Science, Justin Solomon, 2,
Center for Information Systems Research, Peter Weill, 1,
Office of the Institute Professors, Ann Graybiel, 4,
Department of Nuclear Science and Engineering, Richard Lanza, 2,
Department of Housing, Michael Collins, 2,
Department of Urban Studies and Planning, Mariana Arcaya, 1,
Department of Economics, Joshua Angrist, 5,
Department of Mechanical Engineering, Hermano Krebs, 8,
Dept of Electrical Engineering & Computer Science, Vincent Chan, 8,
Department of Aeronautics and Astronautics, Youssef Marzouk, 2,
Department of Materials Science and Engineering, Edwin Thomas, 8,
Department of Nuclear Science and Engineering, Koroush Shirvan, 2,
Department of Physics, Paul Schechter, 5,
Computer Science & Artificial Intelligence Lab, Larry Rudolph, 1,
Lincoln Laboratory, James Evans, 2,
Department of Biological Engineering, Douglas Lauffenburger, 6,
Dept of Electrical Engineering & Computer Science, Joel Schindall, 7,
Plasma Science and Fusion Center, Brian Labombard, 6,
Department of Brain and Cognitive Sciences, Martha Constantine-Paton, 10,
Dept of Electrical Engineering & Computer Science, Luca Daniel, 2,
Kavli Institute for Astrophysics & Space Research, David Shoemaker, 6,
Department of Materials Science and Engineering, W Carter, 7,
Anthropology Program, Susan Silbey, 1,
Department of Mechanical Engineering, Jeehwan Kim, 6,
Dept of Electrical Engineering & Computer Science, Manolis Kellis, 5,
Center for Biomedical Innovation, Stacy Springs, 3,
Dept of Electrical Engineering & Computer Science, Daniel Jackson, 7,
Department of Aeronautics and Astronautics, Choon Tan, 10,
Department of Economics, Parag Pathak, 3,
McGovern Institute for Brain Research, Clemens Bauer Hoss, 5,
Department of Architecture, Mark Goulthorpe, 8,
Sloan School of Management, Vivek Farias, 3,
Department of Biology, Jianzhu Chen, 2,
Kavli Institute for Astrophysics & Space Research, Erotokritos Katsavounidis, 8,
Department of Mechanical Engineering, Emanuel Sachs, 5,
Department of Physics, Lindley Winslow, 5,
Department of Materials Science and Engineering, Rafael Jaramillo, 8,
Department of Aeronautics and Astronautics, Amedeo Odoni, 6,
Department of Mathematics, Laurent Demanet, 1,
Dept of Earth Atmospheric & Planetary Sciences, Jason Soderblom, 1,
Department of Mechanical Engineering, Cullen Buie, 8,
Program in Media Arts and Sciences, Edward Boyden, 8,
Department of Materials Science and Engineering, Silvija Gradecak, 3,
Department of Chemistry, Ramachandra Dasari, 5,
Department of Aeronautics and Astronautics, Emilio Frazzoli, 4,
Dept of Electrical Engineering & Computer Science, Tomas Palacios, 1,
MIT Energy Initiative, Howard Herzog, 5,
Computer Science & Artificial Intelligence Lab, Stephanie Seneff, 8,
Department of Economics, Heidi Williams, 8,
Plasma Science and Fusion Center, Amanda Hubbard, 6,
Department of Biological Engineering, Christopher Voigt, 7,
Dept of Electrical Engineering & Computer Science, George Verghese, 2,
Department of Mechanical Engineering, Sang-Gook Kim, 6,
Department of Brain and Cognitive Sciences, Weifeng Xu, 2,
Dept of Electrical Engineering & Computer Science, Ruonan Han, 10,
Department of Chemistry, Gabriela Schlau-Cohen, 1,
Dept of Electrical Engineering & Computer Science, Martin Rinard, 10,
Computer Science & Artificial Intelligence Lab, Lalana Kagal, 9,
Microsystems Technology Laboratories, David Terry, 8,
Dept of Electrical Engineering & Computer Science, Tommi Jaakkola, 2,
Department of Physics, Ulrich Becker, 5,
Department of Mechanical Engineering, Douglas Hart, 2,
Department of Mechanical Engineering, Lallit Anand, 2,
Center for International Studies, John Tirman, 4,
Dept of Earth Atmospheric & Planetary Sciences, Michael Follows, 5,
Department of Mechanical Engineering, Amy Smith, 4,
Dept of Electrical Engineering & Computer Science, Jing Kong, 10,
Dept of Earth Atmospheric & Planetary Sciences, Glenn Flierl, 3,
Dept of Electrical Engineering & Computer Science, Armando Solar Lezama, 7,
Division of Comparative Medicine, Susan Erdman, 1,
Department of Physics, Ibrahim Cisse, 5,
Department of Economics, Nikhil Agarwal, 5,
Department of Brain and Cognitive Sciences, Myriam Heiman, 10,
Department of Chemical Engineering, Kwanghun Chung, 1,
Dept of Earth Atmospheric & Planetary Sciences, Kerry Emanuel, 7,
Plasma Science and Fusion Center, Joshua Stillerman, 7,
Department of Mathematics, Victor Kac, 9,
Department of Mechanical Engineering, Triantaphyllos Akylas, 6,
Department of Physics, Deepto Chakrabarty, 7,
Department of Mechanical Engineering, David Hardt, 8,
Dept of Electrical Engineering & Computer Science, Rajeev Ram, 4,
Dept of Electrical Engineering & Computer Science, Stephen Ward, 10,
Department of Chemistry, Bradley Pentelute, 10,
Department of Political Science, Nazli Choucri, 7,
SoE Dept/Lab/Center/Director Org, Saman Amarasinghe, 10,
Department of Civil and Environmental Engineering, Elfatih Eltahir, 8,
Department of Chemical Engineering, Gregory McRae, 6,
Computer Science & Artificial Intelligence Lab, William Long, 1,
Department of Civil and Environmental Engineering, Franz-Josef Ulm, 3,
Department of Aeronautics and Astronautics, Kerri Cahoy, 5,
Sloan School of Management, Andrew McAfee, 8,
Department of Architecture, Lawrence Sass, 1,
Department of Mathematics, Bjorn Poonen, 9,
Haystack Observatory, Philip Erickson, 6,
Dept of Electrical Engineering & Computer Science, Christopher Terman, 7,
Department of Biology, Dennis Kim, 5,
Department of Civil and Environmental Engineering, Pedro Reis, 8,
Sloan School of Management, Henry Jacoby, 10,
Materials Research Laboratory, Susan Rosevear, 4,
Department of Mechanical Engineering, Anthony Patera, 10,
Dept of Earth Atmospheric & Planetary Sciences, Patrick Heimbach, 8,
Sloan School of Management, Christopher Knittel, 1,
Department of Mechanical Engineering, Nicholas Patrikalakis, 6,
Department of Mechanical Engineering, Peter So, 8,
McGovern Institute for Brain Research, Satrajit Ghosh, 3,
Department of Biological Engineering, Jacquin Niles, 8,
Department of Chemical Engineering, Zachary Smith, 10,
Department of Chemical Engineering, George Stephanopoulos, 10,
Department of Physics, Marin Soljacic, 1,
Department of Chemistry, Richard Schrock, 6,
Department of Mechanical Engineering, Gareth McKinley, 6,
Department of Mathematics, Tobias Colding, 8,
Sloan School of Management, Wanda Orlikowski, 3,
Dept of Electrical Engineering & Computer Science, Tomas Lozano-Perez, 10,
Department of Physics, William Detmold, 5,
Sloan School of Management, Catherine Tucker, 2,
Program in Media Arts and Sciences, Iyad Rahwan, 8,
Haystack Observatory, Shun-Rong Zhang, 7,
Haystack Observatory, Vincent Fish, 6,
Department of Chemistry, Rick Danheiser, 8,
Office of the Provost, Karen Gleason, 2,
Department of Chemistry, Troy Van Voorhis, 6,
Department of Mathematics, Joern Dunkel, 7,
Center for Global Change Science, Kenneth Strzepek, 3,
Sloan School of Management, David Gamarnik, 5,
Nuclear Reactor Laboratory, John Bernard, 6,
Media Laboratory, Neha Narula, 5,
Department of Civil and Environmental Engineering, Jesse Kroll, 1,
Department of Mechanical Engineering, Xuanlai Fang, 9,
Department of Biology, Graham Walker, 6,
Department of Chemistry, Matthew Shoulders, 10,
Department of Mathematics, Rodolfo Rosales, 3,
Institute for Data Systems and Society, Stan Finkelstein, 8,
Office of Undergraduate Education, Dennis Freeman, 5,
Department of Biology, Barbara Imperiali, 10,
Department of Nuclear Science and Engineering, Sow-Hsin Chen, 3,
Research Laboratory of Electronics, Charlotte Reed, 2,
Department of Physics, Robert Jaffe, 8,
Sloan School of Management, Neil Thompson, 6,
Office of the Provost, Daniel Hastings, 9,
Department of Physics, Jagadeesh Moodera, 6,
Dept of Earth Atmospheric & Planetary Sciences, Roger Summons, 2,
Department of Aeronautics and Astronautics, Dava Newman, 2,
Department of Brain and Cognitive Sciences, Ruth Rosenholtz, 10,
Program in Media Arts and Sciences, Andrew Lippman, 9,
Office of the Institute Professors, Robert Langer, 5,
Plasma Science and Fusion Center, Richard Petrasso, 4,
Dept of Electrical Engineering & Computer Science, Dirk Englund, 2,
Haystack Observatory, Lynn Matthews, 7,
Research Laboratory of Electronics, Franz Kaertner, 4,
Department of Mechanical Engineering, Arthur Baggeroer, 4,
Electrical Eng & Computer Sci, H. Seung, 3,
Office of the Provost, Krishna Rajagopal, 3,
Computer Science & Artificial Intelligence Lab, William Lehr, 3,
Department of Mathematics, Ankur Moitra, 3,
Media Laboratory, Nicole Degnan, 6,
Program in Media Arts and Sciences, Alex Pentland, 10,
Dept of Electrical Engineering & Computer Science, Nir Shavit, 2,
Department of Chemistry, Alexander Klibanov, 4,
Department of Mechanical Engineering, Franz Hover, 5,
Office of the Provost, Duane Boning, 6,
Media Laboratory, Kent Larson, 4,
Institute for Data Systems and Society, Jessika Trancik, 7,
Abdul Latif Jameel Poverty Action Lab, Rachel Glennerster, 10,
Department of Mathematics, Alexander Postnikov, 1,
Dept of Electrical Engineering & Computer Science, Regina Barzilay, 6,
Department of Chemistry, Christopher Cummins, 10,
Department of Economics, Jerry Hausman, 8,
Sloan School of Management, Jose Perez-Arriaga, 7,
Department of Mechanical Engineering, Anette Hosoi, 3,
Sloan School of Management, Charles Fine, 6,
Office of the Institute Professors, Thomas Magnanti, 9,
Department of Mathematics, Pavel Etingof, 10,
Department of Aeronautics and Astronautics, Laurence Young, 9,
Department of Civil and Environmental Engineering, Peter Shanahan, 6,
Department of Chemistry, Yogesh Surendranath, 9,
Department of Mechanical Engineering, Steven Dubowsky, 5,
Department of Brain and Cognitive Sciences, Mriganka Sur, 8,
Kavli Institute for Astrophysics & Space Research, Norbert Schulz, 2,
Sloan School of Management, Fiona Murray, 2,
Department of Mathematics, Steven Johnson, 8,
Department of Chemical Engineering, Michael Strano, 7,
Kavli Institute for Astrophysics & Space Research, Ronald Remillard, 5,
Department of Nuclear Science and Engineering, Benoit Forget, 5,
Plasma Science and Fusion Center, James Terry, 5,
Department of Mechanical Engineering, Martin Culpepper, 4,
Department of Materials Science and Engineering, Carl Thompson, 3,
Sloan School of Management, Renee Gosline, 4,
Institute for Data Systems and Society, Daniel Roos, 2,
Department of Materials Science and Engineering, Eugene Fitzgerald, 3,
