Primary_Sponsor,Direct_Sponsors,Project_Wbs_Id,G_C,Profit_Center_Id,Sponsor_Contract_Number,Supervisor,Project_W,Project_Wbs Expiration_D,Fytd_Amount,Auth_Total,Unexpended_Balance
,,6931611,C,P060600,7000306158,Palacios /Tomas,02/01/15,09/30/17,130639,304000,-21041
,,6931695,C,P061093,PO 7000308473,Hansman /Robert J,01/01/15,12/31/16,41612,99948,0
,,6931836,C,P153000,PO 7000311990,Seager /Sara,03/01/15,12/31/16,26292,65148,64
,,6931852,C,P401710,PO 7000311990,Hecht /Michael,03/01/15,04/30/16,0,64852,0
,,6932133,C,P061093,PO 7000313070,Balakrishnan /Hamsa,04/01/15,07/31/16,11665,189110,0
,,6932138,C,P061090,PO 7000315536,Lozano /Paulo C,05/01/15,06/30/16,-468,115000,0
,,6932232,C,P065005,PO 7000319358,Schmidt /Henrik,05/15/15,01/31/17,123528,260000,0
,,6932283,C,P061901,PO 7000320786,Shalek /Alexander K,07/01/15,06/01/16,2869,49930,0
,,6932735,C,P065004,PURCHASE ORDER 70003,Anthony /Brian,07/01/15,06/30/16,-58343,35991,0
,,6932764,C,P267600,PO 7000326660,Lu /Timothy K,09/01/15,12/31/17,13584,50000,"35,346"
,,6932795,C,P068700,PO#7000329421,Shah /Devavrat,09/01/15,08/31/16,-26,100000,0
,,6932866,C,P152000,PO#7000328711,Nelson /Keith Adam,08/01/15,07/31/16,36909,65000,0
,,6932870,C,P065005,PO 7000330171,Yang /Maria,09/01/15,08/31/16,25635,99747,0
,,6932872,C,P401710,PO#7000328712,Lonsdale /Colin John,09/01/15,09/30/17,56012,144627,74952
,,6932909,C,P065005,7000330949,Zhao /Xuanhe,10/01/15,09/30/16,20020,100000,0
,,6932975,C,P067952,PO 7000331617,Torralba /Antonio,10/01/15,09/30/16,38340,114893,22
,,6932987,C,P065003,PO 7000332718,Lienhard /John H,10/01/15,09/30/16,11794,49877,0
,,6932991,C,P061094,PO 7000332744,Balakrishnan /Hamsa,09/01/15,08/31/16,14846,77614,0
,,6932993,C,P067952,PO 7000332838,Katabi /Dina,07/01/15,06/30/16,-2094,99932,0
,,6932995,C,P065004,PO 7000332975,Hart /Anastasios John,10/01/15,09/30/17,106980,230000,5038
,,6933005,C,P060600,PO 7000333383,Chandrakasan /Anantha P,10/01/15,09/30/17,71629,100000,23730
,,6933018,C,P061094,PO 7000334071,Hoffman /Jeffrey A,09/01/15,12/31/16,52206,150000,2193
,,6933166,C,P061094,PO 7000334320,Barrett /Steven R. H.,10/01/15,09/30/17,32368,162554,2
,,6933199,C,P267300,7000335585,Fink /Yoel,11/01/15,09/30/17,41033,120000,61028
,,6933332,C,P159400,7000337700,Schlosser /Courtney Adam,11/01/15,10/31/16,37708,99996,0
,,6933360,C,P065004,7000337934,Hart /Douglas,11/01/15,10/31/16,40051,89990,0
,,6933364,C,P067952,PURCHASE ORDER 70003,Goldwasser /Shafrira,09/01/15,05/31/17,50203,100000,-13860
,,6933385,C,P068700,PO 7000337977,Shah /Devavrat,10/01/15,09/30/16,26512,60000,0
,,6933392,C,P066000,PO 7000338443,Ross /Caroline A,01/01/16,12/31/16,719,50000,-3253
,,6933396,C,P066000,PO 7000338443,Hu /Juejun,01/01/16,12/31/16,6396,50000,-51
,,6933423,C,P065005,PO 7000339130,Schmidt /Henrik,10/01/15,09/30/17,21998,130000,60223
,,6933513,C,P061090,PO 7000340812,How /Jonathan P,01/01/16,12/31/17,45467,128000,82533
,,6933541,C,P401710,PO 7000339337,Lonsdale /Colin John,02/01/16,08/31/17,287526,437368,24260
,,6933546,C,P067952,PO 7000259926,Tedrake /Russell L,01/01/14,12/31/16,30113,43750,-324
,,6933613,C,P061094,PO 7000334320,Barrett /Steven R. H.,10/01/15,09/30/17,3535,5200,75
,,6933645,C,P065004,PO 7000344422,Hart /Douglas,02/01/16,12/31/17,261687,410000,-13125
,,6933696,C,P039000,7000345090,Oxman /Neri,02/01/16,12/31/16,30000,30000,0
,,6933700,C,P069201,PO 7000342060,Alm /Eric J,01/01/16,09/30/17,73946,168000,11722
,,6933706,C,P067952,PO 7000345331,Shrobe /Howard E,01/01/16,12/31/17,39026,100000,60974
,,6933719,C,P061901,7000345926,Bourouiba /Lydia,02/01/16,01/31/17,71835,118700,0
,,6933722,C,P061093,PO 7000341743,Hansman /Robert J,02/01/16,03/31/17,95461,99999,10
,,6933724,C,P068700,PO #7000346015,Sra /Suvrit,01/01/16,08/31/17,55826,155185,49337
,,6933725,C,P267110,7000345364,Chuang /Isaac,10/01/15,07/31/16,58388,93686,0
,,6934006,C,P069850,PO 7000351539,Gedik /Nuh,06/01/16,12/31/17,49443,49742,299
,,6934036,C,P066000,PO 7000351384,Hu /Juejun,05/01/16,04/30/17,29928,30000,72
,,6934430,C,P065004,PO 7000359526,Kim /Jeehwan,07/01/16,10/31/17,93482,100000,6518
,,6934511,C,P065004,7000337934,Hart /Douglas,02/01/16,10/31/16,10010,10010,0
,,6934512,C,P065004,PO 7000344422,Hart /Douglas,08/01/16,12/31/17,0,0,0
,,6934548,C,P065004,PO 7000344422,Hart /Douglas,02/01/16,12/31/17,0,0,0
,,6934698,C,P065004,PO 7000332975,Hart /Anastasios John,10/01/15,09/30/17,18369,20000,1631
,,6934759,C,P060600,7000362193,Liu /Luqiao,08/01/16,07/31/17,39367,130000,90633
,,6934810,C,P031000,PO #7000364436,Mazereeuw /Miho,09/01/16,08/31/17,10890,30000,19110
,,6934951,C,P062000,PO 7000366547,Brushett /Fikile R,09/01/16,02/28/18,35244,50000,14756
,,6934997,C,P402000,PO #7000366576,Belcher /Angela M,09/01/16,02/28/18,34010,50000,15990
,,6935040,C,P067952,PO 7000366923,Barzilay /Regina,09/01/16,08/31/17,654,32500,31846
,,6935139,C,P067952,7000367982,O'Reilly /Una-May,10/01/16,09/30/17,73489,50000,-23489
,,6935145,C,P065004,PO 7000368802,Buie /Cullen,10/01/16,09/30/17,50949,100000,"49,051"
,,6935155,C,P067952,PO # 7000369210,Barzilay /Regina,09/01/16,08/31/17,107468,100000,-7468
,,6935179,C,P067952,PO 7000366923,Jaakkola /Tommi S,09/01/16,08/31/17,35296,32500,-2796
,,6935235,C,P066000,PO#7000370657,Hu /Juejun,10/01/16,09/30/17,84927,98500,13573
,,6935245,C,P061094,PO 7000334320,Barrett /Steven R. H.,10/01/16,09/30/17,133946,176110,42164
,,6935246,C,P267110,PO 7000334320,Perreault /David J,10/01/16,09/30/17,36264,96110,59846
,,6935279,C,P060600,PO 7000369000,Velasquez-Heller /Luis Fernand,10/01/16,09/30/17,124025,150000,25975
,,6935316,C,P267200,7000372082,Trumper /David L,09/01/16,08/31/17,70798,100000,29202
,,6935357,C,P267500,7000371273,Soljacic /Marin,10/01/16,09/30/17,126204,120000,-6204
,,6935553,C,P067952,7000374874,Tedrake /Russell L,11/01/16,09/30/17,174205,200000,25795
,,6935578,C,P061901,7000375599,Chung /Kwanghun,10/01/16,09/30/17,1386,50000,48614
,,6935579,C,P061093,PO 7000374786,Hansman /Robert J,11/01/16,10/31/17,66363,299994,233631
,,6935644,C,P060600,PO 7000376241,Han /Ruonan,12/01/16,09/30/17,61269,113000,51731
,,6935761,C,P061093,PO 7000374786,Hansman /Robert J,11/01/16,08/31/17,47346,100000,52654
,,6935784,C,P067952,PO 7000379430,Rus /Daniela L,02/01/17,01/31/18,0,60000,60000
,,6935797,C,P066000,PO#7000370657,Hu /Juejun,01/31/17,09/30/17,0,26500,26500
,,6935965,C,P267300,7000381569,Oliver /William D,10/01/16,09/30/17,30936,200000,169064
,,6936053,C,P066000,7000383023,Fitzgerald /Eugene A,03/01/17,08/31/17,966,2392,1425
,,6936105,C,P267300,7000383604,Oliver /William D,02/01/17,08/31/18,4209,250000,245791
,,6936237,C,P066000,PO#7000385831,Beach /Geoffrey Stephen,09/01/16,08/31/17,35161,120000,84839
,,6936301,C,P267300,7000385936,Oliver /William D,05/01/17,09/30/21,0,50000,50000
,,6936327,C,P061094,PO 7000386845,Balakrishnan /Hamsa,03/01/17,08/31/18,21948,25000,3052
,,6936380,C,P401710,PO #7000289543,Lonsdale /Colin John,01/01/17,09/30/17,1524,0,-1524
,,6936395,C,P267600,7000387954,Ram /Rajeev J,10/01/16,09/30/17,18022,20000,1978
,,6936468,C,P061097,PO7000386377,Cahoy /Kerri,05/01/17,04/30/22,0,28572,28572
,,6936545,C,P061090,PO 7000389700,Miller /David W,06/12/17,08/22/17,4905,65000,60095
,012159 Diversified Tech,6935088,C,P401710,AGREEMENT DATED 9-1-,Lind /Frank David,09/01/16,08/31/17,55120,73968,18848
,Total by Primary Sponsor,,,,,,,,8062198,24008130,2540736
000106 Air Force Office of Scientific Research - AFOSR,000106 Air Force Office of Scientific Research - AFOSR,6924248,C,P267300,FA9550-11-1-0183,Wornell /Gregory W,07/15/11,09/14/16,30024,981995,0
,,6924309,C,P069850,FA9550-11-1-0225,Jarillo-Herrero /Pablo,05/01/11,07/31/16,4800,602758,0
,,6924317,C,P063007,FA9550-11-1-0199,Buehler /Markus J,09/01/11,08/31/16,82082,837728,0
,,6924742,C,P061090,FA9550-11-1-0195,Martinez-Sanchez /Manuel,06/15/11,12/14/16,7260,1205601,0
,,6924864,C,P068700,FA9550-11-1-0305,Parrilo /Pablo A,09/30/11,05/31/17,101043,915081,0
,,6925063,C,P243020,FA9550-11-1-0195,Whyte /Dennis G,06/15/11,12/14/16,39289,587892,0
,,6925796,C,P062000,FA9550-12-1-0259,Olsen /Bradley D.,06/01/12,08/31/17,65895,594464,46906
,,6926160,C,P153000,FA9550-12-1-0313,Ravela /Srinivas,07/01/12,06/30/17,212774,1027506,-4566
,,6926465,C,P067952,FA9550-12-1-0423,Demaine /Erik D,05/02/12,09/30/16,99597,1848276,0
,,6926704,C,P267600,FA9550-12-1-0499,Ippen /Erich Peter,09/30/12,09/30/17,0,0,0
,,6926802,C,P267600,FA9550-12-1-0499,Ippen /Erich Peter,09/30/12,09/29/17,163220,666000,160412
,,6926803,C,P267600,FA9550-12-1-0499,Fujimoto /James G,09/30/12,09/29/17,241287,666999,91496
,,6926804,C,P267600,FA9550-12-1-0499,Kaertner /Franz X,09/30/12,09/29/17,98966,627000,47715
,,6927243,C,P067952,FA9550-13-1-0042,Lynch /Nancy Ann,04/01/13,05/31/16,-1076,542409,0
,,6927472,C,P062000,FA9550-12-1-0259,Olsen /Bradley D.,02/21/13,05/31/13,0,5536,0
,,6927583,C,P267600,FA9550-13-1-0159,Kaertner /Franz X,03/15/13,07/14/16,99766,384381,0
,,6928369,C,P267111,FA9550-13-1-0193,Englund /Dirk R.,08/01/13,07/31/17,83244,653607,36608
,,6929025,C,P154000,FA9550-14-1-0031,Spivak /David I,12/01/13,11/30/17,161065,740000,56928
,,6929196,C,P267100,FA9550-14-1-0035,Ketterle /Wolfgang,02/15/14,05/14/18,106,0,-106
,,6929204,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,12/15/13,12/14/18,0,15136,"15,136"
,,6929344,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,12/15/13,12/14/18,148317,1830959,475787
,,6929345,C,P267300,FA9550-14-1-0052,Shapiro /Jeffrey H,12/15/13,12/14/18,237639,998264,184915
,,6929346,C,P267500,FA9550-14-1-0052,Berggren /Karl K,12/15/13,12/14/18,199813,1148932,266458
,,6929347,C,P267300,FA9550-14-1-0052,Lloyd /Seth,12/15/13,12/14/18,337750,1023209,277218
,,6929348,C,P267300,FA9550-14-1-0052,Wong /Ngai Chuen,12/15/13,12/14/18,320424,1061712,116502
,,6929349,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,12/15/13,12/14/18,263236,1247118,356265
,,6929350,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,12/15/13,12/14/18,185950,1359906,457844
,,6929351,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,12/15/13,12/14/18,401037,1504618,401058
,,6929377,C,P065004,FA9550-14-1-0060,Del Vecchio /Domitilla,03/01/14,02/28/19,332894,1095000,285930
,,6929541,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,03/06/14,03/14/16,0,147361,0
,,6929760,C,P267100,FA9550-14-1-0035,Ketterle /Wolfgang,02/15/14,05/14/18,344331,818870,-190319
,,6929761,C,P267110,FA9550-14-1-0035,Zwierlein /Martin Wolfram,02/15/14,05/14/18,171423,487500,46456
,,6929762,C,P267100,FA9550-14-1-0035,Ketterle /Wolfgang,02/15/14,05/14/17,534541,1738763,-1
,,6929763,C,P267100,FA9550-14-1-0035,Ketterle /Wolfgang,02/15/14,05/14/17,391018,1154617,332454
,,6929764,C,P267100,FA9550-14-1-0035,Ketterle /Wolfgang,02/15/14,05/14/17,397088,1122117,38112
,,6929766,C,P267100,FA9550-14-1-0035,Ketterle /Wolfgang,02/15/14,05/14/17,121956,537117,91550
,,6929767,C,P267100,FA9550-14-1-0035,Ketterle /Wolfgang,02/15/14,05/14/17,281964,1089617,85354
,,6930194,C,P069850,FA9550-11-1-0225,Jarillo-Herrero /Pablo,05/01/11,07/31/16,0,19200,0
,,6930289,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,07/01/14,12/14/16,0,18432,0
,,6930290,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,02/01/14,12/14/17,1522,71225,7468
,,6930334,C,P152000,FA9550-14-1-0226,Swager /Timothy M,08/01/14,07/31/17,147301,681385,20909
,,6930421,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,07/24/14,12/14/16,0,7749,0
,,6930585,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,08/05/14,12/14/16,31,4345,0
,,6930707,C,P267100,FA9550-14-1-0035,Ketterle /Wolfgang,07/01/14,05/14/18,38131,245000,28365
,,6930736,C,P267600,FA9550-14-1-0255,Hong /Kyung-Han,06/03/14,11/30/17,204416,563141,43340
,,6930752,C,P152000,FA9550-14-1-0292,Johnson /Jeremiah A.,09/01/14,08/31/17,169922,360000,-1930
,,6930805,C,P267600,FA9550-14-1-0255,Hong /Kyung-Han,06/03/14,11/30/17,11763,24000,-1676
,,6930806,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,09/15/14,12/14/16,6854,9600,0
,,6930809,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,09/20/14,12/14/16,114,49864,0
,,6930810,C,P267111,FA9550-13-1-0193,Englund /Dirk R.,09/15/14,07/31/17,65292,88550,-45720
,,6930848,C,P267100,FA9550-14-1-0035,Ketterle /Wolfgang,09/01/14,05/14/18,43561,355000,24440
,,6930884,C,P267600,FA9550-14-1-0255,Hong /Kyung-Han,09/01/14,11/30/17,92863,212118,34562
,,6930911,C,P067952,FA9550-14-1-0403,Lynch /Nancy Ann,09/30/14,09/29/18,169469,511951,223958
,,6930912,C,P267300,FA9550-14-1-0403,Medard /Muriel,09/30/14,09/29/18,225024,640000,27680
,,6930934,C,P068700,FA9550-14-1-0399,Karaman /Sertac,09/30/14,09/29/17,190367,956673,255552
,,6930946,C,P267110,FA9550-14-1-0035,Zwierlein /Martin Wolfram,02/15/14,05/14/18,98979,280000,-26065
,,6930947,C,P267110,FA9550-14-1-0035,Zwierlein /Martin Wolfram,02/15/14,05/14/18,14365,290000,30558
,,6930948,C,P401710,FA9550-14-1-0192,Lonsdale /Colin John,07/01/14,09/29/17,203894,677380,122337
,,6931031,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,10/23/14,12/14/17,1306,27095,1467
,,6931131,C,P061901,FA9550-14-1-0060,Collins /James J.,03/01/14,02/28/19,169812,800000,418457
,,6931393,C,P061093,FA9550-15-1-0038,Willcox /Karen E,01/01/15,12/31/17,956046,3098194,910520
,,6931408,C,P061093,FA9550-15-1-0038,Willcox /Karen E,01/01/15,12/31/17,208907,600000,129188
,,6931409,C,P061097,FA9550-15-1-0038,Marzouk /Youssef M,01/01/15,12/31/17,185362,600000,124998
,,6931414,C,P061090,FA9550-15-1-0072,Wang /Qiqi,01/15/15,01/14/18,140280,360000,28029
,,6931458,C,P154000,FA9550-15-1-0078,Demanet /Laurent,02/01/15,01/31/17,136884,410312,0
,,6931480,C,P069850,FA9550-15-1-0046,Allanore /Antoine,03/01/15,02/28/18,116208,353044,34723
,,6931545,C,P267111,FA9550-13-1-0193,Englund /Dirk R.,02/01/15,07/31/17,1210,52635,-2102
,,6931640,C,P152000,FA9550-15-1-0135,Surendranath /Yogesh,04/01/15,03/31/18,108441,360000,87258
,,6931796,C,P243020,FA9550-15-1-0058,Temkin /Richard J,04/15/15,04/14/18,198621,590000,"168,026"
,,6931821,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,04/01/15,12/14/16,6244,41200,0
,,6931930,C,P267111,FA9550-14-1-0052,Englund /Dirk R.,02/28/15,12/14/18,29963,32500,-12144
,,6932297,C,P401710,FA9550-14-1-0192,Lonsdale /Colin John,09/30/14,09/29/17,34924,147620,28900
,,6932362,C,P121012,FA9550-15-1-0276,Freund /Robert Michael,06/01/15,12/31/18,229530,545507,146534
,,6932370,C,P069850,FA9550-15-1-0046,Allanore /Antoine,07/30/15,09/08/15,0,6956,0
,,6932456,C,P065005,FA9550-15-1-0310,Wang /Evelyn,06/01/15,08/31/18,159120,270798,-4962
,,6932571,C,P267110,FA9550-15-1-0359,Zwierlein /Martin Wolfram,08/12/15,12/31/16,73058,199395,0
,,6932655,C,P267600,FA9550-15-1-0473,Fujimoto /James G,09/15/15,09/14/17,158362,198503,5073
,,6932832,C,P060600,FA9550-15-1-0514,Palacios /Tomas,06/30/15,09/29/18,0,39269,28000
,,6933074,C,P243020,FA9550-15-1-0058,Temkin /Richard J,04/15/15,04/14/18,10628,10000,-16848
,,6933075,C,P067952,FA9550-16-1-0497,Winston /Patrick H,11/01/15,02/14/17,60510,200000,1479
,,6933128,C,P060600,FA9550-15-1-0514,Palacios /Tomas,09/30/15,09/28/18,89617,164704,57987
,,6933129,C,P060600,FA9550-15-1-0514,Palacios /Tomas,09/30/15,09/28/18,287440,520745,233306
,,6933130,C,P060600,FA9550-15-1-0514,Palacios /Tomas,09/30/15,09/28/18,146639,520745,268313
,,6933131,C,P060600,FA9550-15-1-0514,Palacios /Tomas,09/30/15,09/28/18,229403,530556,219996
,,6933132,C,P063007,FA9550-15-1-0514,Buehler /Markus J,06/30/15,09/28/18,139404,534746,308432
,,6933133,C,P267300,FA9550-15-1-0514,Kong /Jing,09/30/15,09/28/18,138134,534745,307930
,,6933134,C,P062000,FA9550-15-1-0514,Strano /Michael S.,09/30/15,09/28/18,292130,534746,35686
,,6933175,C,P267600,FA9550-15-1-0473,Fujimoto /James G,09/15/15,09/14/17,110354,176497,66143
,,6933359,C,P065004,FA9550-14-1-0060,Del Vecchio /Domitilla,03/01/14,02/28/19,220858,1105000,318181
,,6933363,C,P154500,FA9550-16-1-0012,Tenenbaum /Joshua B,06/18/15,12/14/18,206496,400000,66179
,,6933502,C,P267111,FA9550-13-1-0193,Englund /Dirk R.,02/01/16,07/31/17,984,5208,2649
,,6933638,C,P061093,FA9550-16-1-0108,Willcox /Karen E,10/16/15,01/14/18,302080,849789,439061
,,6934116,C,P061093,FA9550-16-1-0214,Peraire /Jaime,06/01/16,05/31/19,33046,302801,269755
,,6934160,C,P065005,FA9550-16-1-0231,Sapsis /Themistoklis Panagioti,06/15/16,06/14/19,100995,239998,139003
,,6934233,C,P267110,FA9550-16-1-0228,Sze /Vivienne,06/01/16,06/14/19,113372,240000,117873
,,6934293,C,P060600,FA9550-16-1-0244,Akinwande /Akintunde I,06/15/16,09/12/18,755,225000,224245
,,6934298,C,P267110,FA9550-15-1-0359,Zwierlein /Martin Wolfram,08/12/15,12/31/16,23666,35495,0
,,6934513,C,P267110,FA9550-16-1-0324,Zwierlein /Martin Wolfram,08/15/16,08/14/17,150539,200000,49461
,,6934530,C,P062000,FA9550-16-1-0208,Green /William H,08/15/16,08/14/20,72253,70000,-2253
,,6934754,C,P061090,FA9550-16-1-0273,Lozano /Paulo C,06/15/16,08/14/18,161137,130000,-31137
,,6934875,C,P069800,FA9550-16-1-0382,Jarillo-Herrero /Pablo,06/30/16,09/29/21,235658,136429,-99230
,,6934975,C,P267111,FA9550-16-1-0391,Englund /Dirk R.,09/30/16,09/29/19,125016,234289,109273
,,6934995,C,P068000,FA9550-16-1-0427,Yildiz /Bilge,09/30/16,09/29/21,69769,130000,60231
,,6935053,C,P267111,FA9550-16-1-0391,Englund /Dirk R.,10/15/16,09/29/19,26886,18000,-8886
,,6935290,C,P069800,FA9550-16-1-0382,Jarillo-Herrero /Pablo,06/30/16,07/31/17,6606,13571,6965
,,6935294,C,P154000,FA9550-17-1-0058,Spivak /David I,12/01/16,11/30/19,79016,199999,120983
,,6935331,C,P067952,FA9550-17-1-0081,Winston /Patrick H,10/15/16,12/14/19,185646,450000,264354
,,6935598,C,P069850,FA9550-17-1-0136,England /Jeremy L.,01/15/17,01/14/20,52542,247172,194630
,,6935619,C,P065005,FA9550-17-1-0114,Sapsis /Themistoklis Panagioti,02/01/17,01/31/19,5247,90000,84753
,,6935858,C,P067952,FA9550-17-1-0165,Kaelbling /Leslie P,03/15/17,03/14/22,10712,250427,239715
,,6935946,C,P065005,FA9550-17-1-0192,Lloyd /Seth,04/01/17,03/31/20,16698,99367,82669
,,6936208,C,P267600,FA9550-12-1-0499,Kaertner /Franz X,04/01/17,09/29/17,2261,40000,37739
,,6936528,C,P066000,FA9550-17-1-0288,Macfarlane /Robert J,07/01/17,06/30/20,0,120000,120000
,002384 Busek Compan,6930264,C,P061090,STTR RESEARCH AGREE,Lozano /Paulo C,12/16/13,06/18/16,-134,320796,0
,005333 Brown Universit,6926780,C,P065004,554,Fang /Xuanlai,09/30/12,09/29/17,93012,705000,18688
,005935 Georgia Institut of Technology,6925152,C,P267100,RC413-G3,Vuletic /Vladan,11/15/11,11/14/16,150840,1500000,0
,,6927930,C,P267111,RC413-G3,Englund /Dirk R.,03/01/13,11/14/16,62863,366000,0
,006570 Massachusetts,6932393,C,P061902,223307,Greenberg /Julie E,06/01/15,08/31/16,10336,35344,0
,,6934486,C,P061902,223307,Greenberg /Julie E,06/01/16,08/31/16,6128,6128,0
,006876 Northwestern U,6932465,C,P066000,SP0013487-PROJ0009454,Macfarlane /Robert J,09/01/15,09/14/16,10062,210000,0
,006959 Old Dominion U,6933167,C,P061901,16-137-300345-010,Weaver /James C,09/30/15,12/31/17,214741,490500,180685
,007233 Rutgers University,6931685,C,P400600,5562,Pantazis /Dimitrios,02/15/15,02/14/16,-23142,70659,27503
,,6935458,C,P400600,5562 / PO 467158,Pantazis /Dimitrios,02/15/16,02/14/17,104284,129341,25057
,,6936564,C,P400600,5562 / PO 467158,Pantazis /Dimitrios,02/15/17,02/14/18,46677,100000,53323
,007618 University of Colorado Boulder,6934474,C,P152000,SUBAWARD NO. 1553954,Field /Robert W,04/01/16,03/31/18,39445,126000,86555
,,6935985,C,P152000,SUBAWARD NO. 1553954,Field /Robert W,04/01/17,04/02/17,0,0,0
,007620 University of De,6929807,C,P067952,38805,Dennis /Jack B,09/30/13,03/29/16,-194,250000,0
,007633 University of Ma,6935254,C,P267100,43830-Z8183003,Vuletic /Vladan,09/15/16,03/14/18,139014,259750,120736
,007635 University of New Mexico,6926768,C,P243020,SUBCONTRACT: 271387-8,Temkin /Richard J,07/03/12,09/30/17,222936,1338538,-1713
,,6927965,C,P243020,SUBCONTRACT: 271387-8,Temkin /Richard J,07/03/12,01/29/17,5734,232588,0
,,6935762,C,P243020,SUBCONTRACT: 271387-8,Temkin /Richard J,07/03/12,09/30/17,113600,343129,229529
,,6935928,C,P243020,SUBCONTRACT: 271387-8,Temkin /Richard J,07/03/12,09/30/17,5471,50745,45274
,007637 University of Te,6936108,C,P061097,UTA17-000362,Marzouk /Youssef M,03/15/17,03/14/20,21730,116667,94937
